tau,Intensity
7.5,46667044.9665868
142.5,24012617.5575625
157.5,22705264.8106532
175,25894853.2635547
197.5,26628513.3401329
225.05,26501199.4242556
256.4,25179957.3362662
289.9,23607847.9695392
326.4,21964526.1716799
367.35,20622638.0071018
413.3,19294751.0203258
22.5,39611245.9442749
464.85,18033395.817345
522.7,16568583.3242422
587.6,15156733.162342
660.4,13814289.7716134
742.1,12480643.9348255
833.75,11244257.8102251
936.55,9990422.14358321
1051.9,8789807.4943322
1181.35,7817890.68295161
1326.6,6714873.63791083
37.5,35958016.442387
1489.6,5913876.77617101
1672.5,5115574.04658774
1877.7,4327663.19240846
2107.95,3668206.17448642
2366.3,3034875.60498919
2656.15,2513867.77249241
2981.35,1992665.13580522
3346.25,1612439.83314994
3755.65,1256544.44363007
4215,971584.525407658
52.5,33536770.0253679
4730.4,734838.846929069
5308.65,550756.648527311
5957.5,400258.950545467
6685.55,282767.74471061
7502.4,196843.443388659
8418.9,137782.867504159
9447.25,92776.9771396672
10601.1,65037.377885459
11895.75,43254.3893909232
13348.35,29899.9008023388
67.5,32037686.4860578
14978.2,21283.9270102705
16806.95,15652.5166313325
18858.8,12027.9051850486
21161,9389.70263926254
23744.15,6862.58558094874
26642.5,6189.07089623596
29894.45,5237.9281990364
33543.2,3959.08596793709
37637.2,3547.17116650338
42230.7,3178.84393995181
82.5,29446899.4230665
47384.7,2819.76300607598
53167.6,2156.1969898459
59656.1,2090.69339303498
66936.3,1723.47016573098
75104.8,1659.96096292177
84270.05,1480.18725879473
94553.65,1090.84113636944
106092,1059.61755774971
119038.25,1007.44831682253
133564.2,729.491069581477
97.5,27547023.9021957
149862.6,40613.9429145955
112.5,26376415.1109712
127.5,24898212.456321
